Team,All time win %,All time record,Record & win % vs each team,Record & win % vs playoff teams,Record & win % vs non-playoff teams,Record & win % vs champions,Record & win % vs last place,Win Variance,Draft Value,Number of first round picks made,Total number of picks made,Points,Avg points,Points against,Avg points against,Differential,Avg differential,Max PF,Avg max PF,Efficiency,Weeks of injuries,Weeks suspensions,Hardship,Offseason starter turnover,Inseason starter turnover,Offseason roster turnover,Inseason roster turnover,Tanking,Luck,Times Brosenzweig,Times Sisenzweig,Times Highest score?,Times Lowest score?,Times Narrowest victory?,Times Largest blowout?,Times Most efficient?,Times Least efficient?,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Number of transactions,Number of trades,Amount of FAAB spent,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams amoung rostered players,Number of rookies started,Number of rookies rostered,Player average age,Times Top half of league?,Difference between highest and lowest starters,Combined matchup score,Number of donuts,Number of players under 10,Number of players over 20,Number of players over 30,Number of players over 40,Number of players over 50,Number of cuffs rostered,Number of cuffs started,Future draft capital,Startup draft players remaining,Seasons,Record,Win %,record vs AceMatthew,win % vs AceMatthew,record vs BROsenzweig,win % vs BROsenzweig,record vs JacobRosenzweig,win % vs JacobRosenzweig,record vs LWebs53,win % vs LWebs53,record vs Oliverwkw,win % vs Oliverwkw,record vs Shmuel256,win % vs Shmuel256,record vs plehv79,win % vs plehv79,record vs shmuel256,win % vs shmuel256,record vs stevenb123,win % vs stevenb123
"('AceMatthew',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,42-42,0.5,0-0,,6-6,0.5,9-4,0.6923,5-5,0.5,5-6,0.4545,4-6,0.4,6-4,0.6,2-2,0.5,5-9,0.3571
"('BROsenzweig',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,44-40,0.5238,6-6,0.5,0-0,,8-4,0.6667,4-6,0.4,8-5,0.6154,1-8,0.1111,11-3,0.7857,1-1,0.5,5-7,0.4167
"('JacobRosenzweig',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24-60,0.2857,4-9,0.3077,4-8,0.3333,0-0,,5-8,0.3846,5-8,0.3846,0-8,0.0,2-9,0.1818,1-2,0.3333,3-8,0.2727
"('LWebs53',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,47-37,0.5595,5-5,0.5,6-4,0.6,8-5,0.6154,0-0,,7-5,0.5833,3-8,0.2727,10-3,0.7692,1-1,0.5,7-6,0.5385
"('Oliverwkw',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41-43,0.4881,6-5,0.5455,5-8,0.3846,8-5,0.6154,5-7,0.4167,0-0,,3-6,0.3333,8-5,0.6154,2-0,1.0,4-7,0.3636
"('Shmuel256',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,43-24,0.6418,6-4,0.6,8-1,0.8889,8-0,1.0,8-3,0.7273,6-3,0.6667,0-0,,3-7,0.3,0-0,,4-6,0.4
"('plehv79',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,36-48,0.4286,4-6,0.4,3-11,0.2143,9-2,0.8182,3-10,0.2308,5-8,0.3846,7-3,0.7,0-0,,2-0,1.0,3-8,0.2727
"('shmuel256',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7-10,0.4118,2-2,0.5,1-1,0.5,2-1,0.6667,1-1,0.5,0-2,0.0,0-0,,0-2,0.0,0-0,,1-1,0.5
"('stevenb123',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,52-32,0.619,9-5,0.6429,7-5,0.5833,8-3,0.7273,6-7,0.4615,7-4,0.6364,6-4,0.6,8-3,0.7273,1-1,0.5,0-0,
